notes,notesDo,frequency,base_value
C0,Do0,"16,35","440,00"
C#0,Do#0,"17,32","1,0594630943593"
D0,Re0,"18,35",This file Modified for some requirements
D#0,Re#0,"19,45",official link below
E0,Mi0,"20,60",https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fpages.mtu.edu%2F~suits%2FScaleFreqs.xls&wdOrigin=BROWSELINK
F0,Fa0,"21,83",
F#0,Fa#0,"23,12",Do not change cell D3
G0,Sol0,"24,50",Change cell D1 for different A4 reference freqs.
G#0,Sol#0,"25,96",Column C is frequency in Hz.
A0,La0,"27,50",© 2014 B H Suits
A#0,La#0,"29,14",
B0,Si0,"30,87",
C1,Do1,"32,70",
C#1,Do#1,"34,65",
D1,Re1,"36,71",
D#1,Re#1,"38,89",
E1,Mi1,"41,20",
F1,Fa1,"43,65",
F#1,Fa#1,"46,25",
G1,Sol1,"49,00",
G#1,Sol#1,"51,91",
A1,La1,"55,00",
A#1,La#1,"58,27",
B1,Si1,"61,74",
C2,Do2,"65,41",
C#2,Do#2,"69,30",
D2,Re2,"73,42",
D#2,Re#2,"77,78",
E2,Mi2,"82,41",
F2,Fa2,"87,31",
F#2,Fa#2,"92,50",
G2,Sol2,"98,00",
G#2,Sol#2,"103,83",
A2,La2,"110,00",
A#2,La#2,"116,54",
B2,Si2,"123,47",
C3,Do3,"130,81",
C#3,Do#3,"138,59",
D3,Re3,"146,83",
D#3,Re#3,"155,56",
E3,Mi3,"164,81",
F3,Fa3,"174,61",
F#3,Fa#3,"185,00",
G3,Sol3,"196,00",
G#3,Sol#3,"207,65",
A3,La3,"220,00",
A#3,La#3,"233,08",
B3,Si3,"246,94",
C4,Do4,"261,63",
C#4,Do#4,"277,18",
D4,Re4,"293,66",
D#4,Re#4,"311,13",
E4,Mi4,"329,63",
F4,Fa4,"349,23",
F#4,Fa#4,"369,99",
G4,Sol4,"392,00",
G#4,Sol#4,"415,30",
A4,La4,"440,00",
A#4,La#4,"466,16",
B4,Si4,"493,88",
C5,Do5,"523,25",
C#5,Do#5,"554,37",
D5,Re5,"587,33",
D#5,Re#5,"622,25",
E5,Mi5,"659,26",
F5,Fa5,"698,46",
F#5,Fa#5,"739,99",
G5,Sol5,"783,99",
G#5,Sol#5,"830,61",
A5,La5,"880,00",
A#5,La#5,"932,33",
B5,Si5,"987,77",
C6,Do6,"1046,50",
C#6,Do#6,"1108,73",
D6,Re6,"1174,66",
D#6,Re#6,"1244,51",
E6,Mi6,"1318,51",
F6,Fa6,"1396,91",
F#6,Fa#6,"1479,98",
G6,Sol6,"1567,98",
G#6,Sol#6,"1661,22",
A6,La6,"1760,00",
A#6,La#6,"1864,66",
B6,Si6,"1975,53",
C7,Do7,"2093,00",
C#7,Do#7,"2217,46",
D7,Re7,"2349,32",
D#7,Re#7,"2489,02",
E7,Mi7,"2637,02",
F7,Fa7,"2793,83",
F#7,Fa#7,"2959,96",
G7,Sol7,"3135,96",
G#7,Sol#7,"3322,44",
A7,La7,"3520,00",
A#7,La#7,"3729,31",
B7,Si7,"3951,07",
C8,Do8,"4186,01",
C#8,Do#8,"4434,92",
D8,Re8,"4698,64",
D#8,Re#8,"4978,03",
E8,Mi8,"5274,04",
F8,Fa8,"5587,65",
F#8,Fa#8,"5919,91",
G8,Sol8,"6271,93",
G#8,Sol#8,"6644,88",
A8,La8,"7040,00",
A#8,La#8,"7458,62",
B8,Si8,"7902,13",
